id,name,municipality,iata_code
43565,Grand Colombier Heliport,"Culoz-Béon, Ain",
43566,Hôpital Bellevue Heliport,Saint-Etienne,
43567,Lyon Edouard Herriot Hospital Heliport,Lyon,
43568,Grenoble North University Hospital Heliport,"Grenoble, Isère",
43569,Hôtel Ariana Heliport,Aix-Les-Bains,
43570,Hôtel Du Château Heliport,Divonne,
43571,Hôtel Georges Blanc Heliport,Vonnas,
43572,Château de Faverges Hotel Heliport,"Faverges-de-la-Tour, Isère",
43573,Hôtel Royal Heliport,Evian-les-Bains,
43574,La Daille Heliport,Val D'Isere,
43575,Les Deux Alpes Heliport,"Les Deux Alpes, Isère",
43576,Magland Heliport,Magland,
43577,Malacussy Heliport,Saint-Etienne,
43578,Quartier-Reynies Heliport,Varces,
43579,Refuge Du Requin Heliport,Chamonix,
43580,Relais Du Soleil Heliport,Chabeuil,
43581,Remontées Mécaniques Heliport,Le Praz De Lys,
43582,Saint-Rémy-de-Maurienne Airfield,"Saint-Rémy-de-Maurienne, Savoie",
43583,Gendarmerie and Civil Security Helicopter Base,"Chamonix-Mont-Blanc, Haute-Savoie",
43584,Societe des Eaux Minerales D'Evian Heliport,Amphion,
43585,Tête De Solaise Heliport,Val D'Isere,
43588,Altisurface d'Aleu,Aleu,
43589,Artigues Altisurface,Artigues,
43590,Bacaneres Altiport,Gouaux-de-Luchon,
43591,Altisurface de Balesta Nature,Roquefort-sur-Garonne,
43592,Cabaliros Altiport,D'Argeles Gazost,
43593,Altisurface de Cap De Barres,Cirès,
43594,Altisurface de Cap De Pouy,Castillon-de-Larboust,
43595,Altisurface de Castillon De La Laquette,Barèges,
43596,Cipières Alpes d'Azur Ultralight Airfield,"Cipières, Alpes-Maritimes",
43597,Clamensane Altisurface,"Clamensane, Alpes-de-Haute-Provence",
43598,Altiport de la Croix Rosier,Claveisolles,
43599,Altisurface du Clos de Legua,Fontrabiouse,
43600,Col de Belledonne Altiport,"Sainte-Agnès, Isère",
43601,Altiport du Col de Cenise,Brison,
43602,Col de la Fenêtre Altiport,"Les Belleville, Savoie",
43603,Altiport du Col de la Marrano,Puyvalador,
43604,Col de Sarenne Altiport,"Clavans-en-Haut-Oisans, Isère",
43605,Col du Béal Altiport,"Chalmazel-Jeansagnière, Loire",
43606,Altiport de Col Saint Jean,Saint Jean,
43607,Altisurface de Coste Del Palm,Formiguères,
43608,Altisurface de Coumely,Gèdre,
43609,Crete De Brouffiers Altiport,La Morte Alpe de Serre,
43610,Dôme de la Lauze Altisurface,"La Grave, Hautes-Alpes",
